category,sub_category,english,definition_en,italian,pronunciation,singular_plural,tense,gender,commonness,part_of_speech,formal_informal,example_sentence_en,example_sentence_it,related_words_it,article_type,base_word
verb,shopping,exchanging,ongoing action,cambiando,kahm-BYAN-doh,,gerund,,1,verb,,Exchanging is easy here.,Cambiando qui è facile.,sostituendo,,cambiare
verb,shopping,to measure,check size,misurare,mee-zoo-RAH-reh,,infinitive,,1,verb,,Please measure my waist.,Per favore misurami la vita.,verificare,,misurare
verb,shopping,I measure,first-person present,misuro,mee-ZOO-roh,,present_1sg,,1,verb,,I measure the fabric.,Misuro il tessuto.,verifico,,misurare
verb,shopping,I measured,past completed action,ho misurato,oh mee-zoo-RAH-toh,,past_1sg,,1,verb,,I measured the ring size.,Ho misurato la misura dell’anello.,ho verificato,,misurare
verb,shopping,measuring,ongoing action,misurando,mee-zoo-RAN-doh,,gerund,,1,verb,,Measuring saves return trips.,Misurando si evitano resi.,verificando,,misurare
verb,shopping,to return,bring back/reimburse,restituire,reh-stee-too-EE-reh,,infinitive,,1,verb,,I want to return this item.,Voglio restituire questo articolo.,rendere,,restituire
verb,shopping,I return,first-person present,restituisco,reh-stee-too-EES-koh,,present_1sg,,1,verb,,I return defective goods.,Restituisco merce difettosa.,rendo,,restituire
verb,shopping,I returned,past completed action,ho restituito,oh reh-stee-too-EE-toh,,past_1sg,,1,verb,,I returned the shirt yesterday.,Ho restituito la camicia ieri.,ho reso,,restituire
verb,shopping,returning,ongoing action,restituendo,reh-stee-too-EN-doh,,gerund,,1,verb,,Returning items needs the receipt.,Restituendo serve lo scontrino.,rendendo,,restituire
verb,shopping,to sell,give goods for money,vendere,VEN-deh-reh,,infinitive,,1,verb,,They sell fresh cheese.,Vendono formaggio fresco.,commercializzare,,vendere
verb,shopping,I sell,first-person present,vendo,VEN-doh,,present_1sg,,1,verb,,I sell postcards in the shop.,Vendo cartoline in negozio.,commercializzo,,vendere
verb,shopping,I sold,past completed action,ho venduto,oh ven-DOO-toh,,past_1sg,,1,verb,,I sold my old camera.,Ho venduto la mia vecchia macchina fotografica.,ho commercializzato,,vendere
verb,shopping,selling,ongoing action,vendendo,ven-DEN-doh,,gerund,,1,verb,,Selling souvenirs is fun.,Vendendo souvenir ci si diverte.,commercializzando,,vendere
verb,shopping,to ask for,request,richiedere,ree-kyeh-DEH-reh,,infinitive,,1,verb,,You can ask for a discount.,Puoi richiedere uno sconto.,chiedere,,richiedere
verb,shopping,I ask for,first-person present,richiedo,ree-KYEH-doh,,present_1sg,,1,verb,,I ask for a bag.,Richiedo una borsa.,chiedo,,richiedere
verb,shopping,I asked for,past completed action,ho richiesto,oh ree-KYEH-stoh,,past_1sg,,1,verb,,I asked for a receipt.,Ho richiesto uno scontrino.,ho chiesto,,richiestare
verb,shopping,asking for,ongoing action,richiedendo,ree-kyeh-DEN-doh,,gerund,,1,verb,,Asking for help is easy.,Richiedendo aiuto è facile.,chiedendo,,richiedere
